2num,2First,2Last,2Company,2AnnDate,gvkey,2permno,2ExecType,2BE,2Confounded,2Interim,2Female,2DirectorName,2Gender
1,John,Agwunobi,Herbalife Nutrition,10/29/19,14269.0,90516.0,CEO,1,0,0.0,0,John Agwunobi,M
2,Victor,Alston,Ixia,3/19/12,140759.0,88750.0,CEO,1,0,0.0,0,Victor Alston,M
3,Craig,Arnold,Eaton,8/24/05,4199.0,11762.0,CEO,1,0,0.0,0,Craig Arnold,M
4,James,Bell,Boeing Company,3/7/05,2285.0,19561.0,CEO,1,0,1.0,0,James Bell,M
5,Byron,Boston,Dynex Capital,12/12/13,14403.0,75269.0,CEO,1,0,0.0,0,Byron Boston,M
6,Ursula,Burns,Xerox,5/21/09,11636.0,27983.0,CEO,1,1,0.0,1,Ursula Burns,F
7,Ursula,Burns,Veon Ltd,12/13/18,63987.0,93337.0,CEO,1,0,0.0,1,Ursula Burns,F
8,Lloyd,Carney,Brocade Communications Systems,1/14/13,120774.0,86881.0,CEO,1,0,0.0,0,Lloyd Carney,M
9,Matthew,Carter,Inteliquent Inc,6/6/15,178767.0,92454.0,CEO,1,0,0.0,0,Matthew Carter,M
10,Anthony,Coles,NPS Pharmaceuticals,5/12/06,30255.0,80560.0,CEO,1,1,0.0,0,Anthony Coles,M
11,Leonard,Comma,Jack in the Box,8/7/13,13092.0,77453.0,CEO,1,0,0.0,0,Leonard Comma,M
12,Nathaniel,Davis,"K12, Inc",2/13/18,178976.0,92493.0,CEO,1,0,0.0,0,Nathaniel Davis,M
13,Steven,Davis,Bob Evans Farms,5/2/06,2282.0,18570.0,CEO,1,0,0.0,0,Steven Davis,M
14,Ken,Denman,Openwave Systems,11/6/08,121257.0,86990.0,CEO,1,0,0.0,0,Ken Denman,M
15,Arnold,Donald,Carnival & plc,6/24/13,13498.0,89728.0,CEO,1,0,0.0,0,Arnold Donald,M
16,Marvin,Ellison,J.C. Penney,10/13/14,8446.0,18403.0,CEO,1,0,0.0,0,Marvin Ellison,M
17,Marvin,Ellison,Lowe¡¯s Companies,5/22/18,6829.0,61399.0,CEO,1,0,0.0,0,Marvin Ellison,M
18,Michael,Fields,Kana Software,8/26/05,123998.0,87241.0,CEO,1,0,0.0,0,Michael Fields,M
19,Kenneth,Frazier,Merck,11/30/10,7257.0,22752.0,CEO,1,0,0.0,0,Kenneth Frazier,M
20,William,Freeman,Arbinet-thexchange,11/19/07,160867.0,90469.0,CEO,1,0,0.0,0,William Freeman,M
21,James,Gavin,MicroIslet Inc,6/9/06,141196.0,90212.0,CEO,1,0,0.0,0,James Gavin,M
22,James,Gavin,MicroIslet Inc,1/19/06,141196.0,90212.0,CEO,1,0,1.0,0,James Gavin,M
23,Joel,Gay,Energy Recovery,4/24/15,179738.0,92753.0,CEO,1,0,0.0,0,Joel Gay,M
24,Kim,Goodman,Worldpay,9/28/16,194956.0,13314.0,CEO,1,0,0.0,1,Kim Goodman,F
