2num,2First,2Last,2Company,2AnnDate,2gvkey,permno,2ExecType,2BE,Confounded,2Interim,2Female
1,John,Agwunobi,Herbalife Nutrition,10/29/19,14269,90516,CEO,1,0,0,0
2,Victor,Alston,Ixia,3/19/12,140759,88750,CEO,1,0,0,0
3,Craig,Arnold,Eaton,8/24/05,4199,11762,CEO,1,0,0,0
4,James,Bell,Boeing Company,3/7/05,2285,19561,CEO,1,0,1,0
5,Byron,Boston,Dynex Capital,12/12/13,14403,75269,CEO,1,0,0,0
6,Ursula,Burns,Xerox,5/21/09,11636,27983,CEO,1,1,0,1
7,Ursula,Burns,Veon Ltd,12/13/18,63987,93337,CEO,1,0,0,1
8,Lloyd,Carney,Brocade Communications Systems,1/14/13,120774,86881,CEO,1,0,0,0
9,Matthew,Carter,Inteliquent Inc,6/6/15,178767,92454,CEO,1,0,0,0
10,Anthony,Coles,NPS Pharmaceuticals,5/12/06,30255,80560,CEO,1,1,0,0
11,Leonard,Comma,Jack in the Box,8/7/13,13092,77453,CEO,1,0,0,0
12,Nathaniel,Davis,"K12, Inc",2/13/18,178976,92493,CEO,1,0,0,0
13,Steven,Davis,Bob Evans Farms,5/2/06,2282,18570,CEO,1,0,0,0
14,Ken,Denman,Openwave Systems,11/6/08,121257,86990,CEO,1,0,0,0
15,Arnold,Donald,Carnival & plc,6/24/13,13498,89728,CEO,1,0,0,0
16,Marvin,Ellison,J.C. Penney,10/13/14,8446,18403,CEO,1,0,0,0
17,Marvin,Ellison,Lowe’s Companies,5/22/18,6829,61399,CEO,1,0,0,0
18,Michael,Fields,Kana Software,8/26/05,123998,87241,CEO,1,0,0,0
19,Kenneth,Frazier,Merck,11/30/10,7257,22752,CEO,1,0,0,0
20,William,Freeman,Arbinet-thexchange,11/19/07,160867,90469,CEO,1,0,0,0
21,James,Gavin,MicroIslet Inc,6/9/06,141196,90212,CEO,1,0,0,0
22,James,Gavin,MicroIslet Inc,1/19/06,141196,90212,CEO,1,0,1,0
23,Joel,Gay,Energy Recovery,4/24/15,179738,92753,CEO,1,0,0,0
24,Kim,Goodman,Worldpay,9/28/16,194956,13314,CEO,1,0,0,1
25,Leslie,Hale,RLJ Lodging Trust,4/10/18,186363,12756,CEO,1,1,1,1
26,Brett,Hart,United Airlines,10/19/15,10795,91103,CEO,1,0,1,0
27,Richard,Holder,"NN, Inc.",5/10/13,29894,80343,CEO,1,0,0,0
28,Rene,Jones,M&T Bank,12/20/17,4699,35554,CEO,1,1,0,0
29,Eric,Kelly,Overland Storage Inc,1/28/09,64408,84555,CEO,1,0,0,0
30,Theo,Killion,Zale Corporation,9/23/10,11669,79672,CEO,1,0,0,0
31,Theo,Killion,Zale Corporation,1/13/10,11669,79672,CEO,1,0,1,0
32,Kase,Lawal,CAMAC Energy Inc,4/12/11,178878,93106,CEO,1,1,0,0
33,Aylwin,Lewis,Kmart Holding Corp,10/18/04,6307,89757,CEO,1,0,0,0
34,Aylwin,Lewis,Sears Holdings Corporation,9/8/05,6307,89757,CEO,1,0,0,0
35,François,Locoh-Donou,F5 Networks,1/31/17,121077,86964,CEO,1,0,0,0
36,Shaun,McAlmont,Lincoln Educational Services,1/21/09,163668,90735,CEO,1,1,0,0
37,,,Corporation,,,,,,,,
38,Ronald,McCray,Career Education Corporation,2/12/15,66379,85724,CEO,1,0,1,0
39,Gary,McCullough,Career Education,3/7/07,66379,85724,CEO,1,0,0,0
40,Stanley,O’Neal,Merrill Lynch,7/22/02,7267,52919,CEO,1,1,0,0
41,William,Osborne,Federal Signal Corporation,9/15/08,4608,47706,CEO,1,0,0,0
42,Clarence,Otis,Darden Restaurants,8/12/04,31846,81655,CEO,1,1,0,0
43,Sam,Owusu-Akyaw,Osteotech,11/23/05,24198,76710,CEO,1,0,0,0
44,Richard,Parsons,Time Warner,12/5/01,120359,86926,CEO,1,1,0,0
45,Gregory,Pratt,Carpenter Technology Corporation,11/14/14,2787,20618,CEO,1,0,0,0
46,Gregory,Pratt,Carpenter Technology Corporation,10/12/09,2787,20618,CEO,1,0,1,0
47,Michael,Pugh,Carver Bancorp,11/17/14,30857,80960,CEO,1,0,0,0
48,Derica,Rice,Eli Lilly and Co.,5/6/13,6730,50876,CEO,1,1,1,0
49,James,Sweetnam,Dana Holding Corporation,5/27/09,3734,92570,CEO,1,0,0,0
50,Tidjane,Thiam,Credit Suisse Group,3/9/15,28838,89154,CEO,1,0,0,0
51,Donald,Thompson,McDonald’s,1/11/10,7154,43449,CEO,1,1,0,0
52,Lisa,Wardell,DeVry Education Group,5/24/16,3905,76708,CEO,1,1,0,1
53,Gene,Warren,ACT Teleconferencing,12/17/03,62649,83347,CEO,1,0,0,0
54,James,White,Jamba Juice,11/18/08,164255,90795,CEO,1,1,0,0
55,Ronald,Williams,Aetna,1/4/06,1177,88845,CEO,1,1,0,0
56,Mary,Winston,Bed Bath & Beyond,5/13/19,25338,77659,CEO,1,0,1,1
57,RL,Wood,Crompton,1/12/04,3607,38420,CEO,1,0,0,0
58,Jide,Zeitlin,Tapestry Inc,9/4/19,140541,88661,CEO,1,1,0,0
59,Keith,Alessi,Westmoreland Coal Company,5/2/07,11440,59467,CEO,0,1,1,0
60,Keith,Alessi,Westmoreland Coal Company,1/27/09,11440,59467,CEO,0,0,0,0
61,Bradbury,Anderson,Best Buy,2/25/02,2184,85914,CEO,0,0,0,0
62,Sherry,Bahrambeygui,PriceSmart,1/31/19,65343,85394,CEO,0,1,0,1
63,Michael,Barry,Quaker Chemical Corporpation,5/7/08,8850,64929,CEO,0,1,0,0
64,Todd,Becker,Green Plains Renewable Energy,12/22/08,166576,91161,CEO,0,0,0,0
65,Friedhelm,Blobel,Sciclone Pharmaceuticals,4/24/06,25047,77413,CEO,0,0,0,0
66,Mark,Capone,Myriad Genetics,2/3/15,61399,82508,CEO,0,0,0,0
67,Greg,Carmichael,Fifth Third Bancorp,7/8/15,4640,34746,CEO,0,0,0,0
68,Steven,Cosse,Murphy Oil Corporation,6/20/12,7620,28345,CEO,0,0,0,0
69,Patrick,Coyne,Delaware Investments Dividend and Income Fund,8/1/06,27963,79036,CEO,0,0,0,0
70,Alec,Cunningham,Wellcare Health Plans,12/21/09,260778,90272,CEO,0,0,0,0
71,Joseph,Darling,Anika Therapeutics,3/5/18,28209,79150,CEO,0,0,0,0
72,David,Dickson,Mcdermott International,10/17/13,7152,64629,CEO,0,1,0,0
73,Brian,Driscoll,Snyder’s-Lance,4/17/17,6574,48531,CEO,0,1,1,0
74,Thomas,Edman,TTM Technologies,10/30/13,139804,88648,CEO,0,0,0,0
75,Michael,Eskew,United Parcel Service,8/16/01,10920,87447,CEO,0,0,0,0
76,Donald,Felsinger,Sempra Energy,12/7/05,8272,86136,CEO,0,0,0,0
